,4.99,4.96,4.91,4.84,4.76,4.65,4.52,4.38,4.22,4.05,3.85,3.64,3.42,3.19,2.94,2.68,2.41,2.13,1.84,1.55,1.24,0.94,0.63,0.31,0.00,-0.31,-0.63,-0.94,-1.24,-1.55,-1.84,-2.13,-2.41,-2.68,-2.94,-3.19,-3.42,-3.64,-3.85,-4.05,-4.22,-4.38,-4.52,-4.65,-4.76,-4.84,-4.91,-4.96,-4.99,-5.00,-4.99,-4.96,-4.91,-4.84,-4.76,-4.65,-4.52,-4.38,-4.22,-4.05,-3.85,-3.64,-3.42,-3.19,-2.94,-2.68,-2.41,-2.13,-1.84,-1.55,-1.24,-0.94,-0.63,-0.31,0.00,0.31,0.63,0.94,1.24,1.55,1.84,2.13,2.41,2.68,2.94,3.19,3.42,3.64,3.85,4.05,4.22,4.38,4.52,4.65,4.76,4.84,4.91,4.96,4.99,5.00
5.00,4.99,4.96,4.91,4.84,4.75,4.65,4.52,4.38,4.22,4.04,3.85,3.64,3.42,3.19,2.94,2.68,2.41,2.13,1.84,1.54,1.24,0.94,0.63,0.31,0.00,-0.31,-0.63,-0.94,-1.24,-1.54,-1.84,-2.13,-2.41,-2.68,-2.94,-3.19,-3.42,-3.64,-3.85,-4.04,-4.22,-4.38,-4.52,-4.65,-4.75,-4.84,-4.91,-4.96,-4.99,-5.00,-4.99,-4.96,-4.91,-4.84,-4.75,-4.65,-4.52,-4.38,-4.22,-4.04,-3.85,-3.64,-3.42,-3.19,-2.94,-2.68,-2.41,-2.13,-1.84,-1.54,-1.24,-0.94,-0.63,-0.31,0.00,0.31,0.63,0.94,1.24,1.54,1.84,2.13,2.41,2.68,2.94,3.19,3.42,3.64,3.85,4.04,4.22,4.38,4.52,4.65,4.75,4.84,4.91,4.96,4.99,5.00
4.99,4.98,4.95,4.90,4.83,4.75,4.64,4.52,4.37,4.21,4.04,3.84,3.64,3.42,3.18,2.93,2.67,2.40,2.12,1.84,1.54,1.24,0.94,0.63,0.31,0.00,-0.31,-0.63,-0.94,-1.24,-1.54,-1.84,-2.12,-2.40,-2.67,-2.93,-3.18,-3.42,-3.64,-3.84,-4.04,-4.21,-4.37,-4.52,-4.64,-4.75,-4.83,-4.90,-4.95,-4.98,-4.99,-4.98,-4.95,-4.90,-4.83,-4.75,-4.64,-4.52,-4.37,-4.21,-4.04,-3.84,-3.64,-3.42,-3.18,-2.93,-2.67,-2.40,-2.12,-1.84,-1.54,-1.24,-0.94,-0.63,-0.31,0.00,0.31,0.63,0.94,1.24,1.54,1.84,2.12,2.40,2.67,2.93,3.18,3.42,3.64,3.84,4.04,4.21,4.37,4.52,4.64,4.75,4.83,4.90,4.95,4.98,4.99
4.98,4.97,4.94,4.89,4.82,4.73,4.63,4.50,4.36,4.20,4.03,3.84,3.63,3.41,3.17,2.93,2.67,2.40,2.12,1.83,1.54,1.24,0.93,0.62,0.31,0.00,-0.31,-0.62,-0.93,-1.24,-1.54,-1.83,-2.12,-2.40,-2.67,-2.93,-3.17,-3.41,-3.63,-3.84,-4.03,-4.20,-4.36,-4.50,-4.63,-4.73,-4.82,-4.89,-4.94,-4.97,-4.98,-4.97,-4.94,-4.89,-4.82,-4.73,-4.63,-4.50,-4.36,-4.20,-4.03,-3.84,-3.63,-3.41,-3.17,-2.93,-2.67,-2.40,-2.12,-1.83,-1.54,-1.24,-0.93,-0.62,-0.31,0.00,0.31,0.62,0.93,1.24,1.54,1.83,2.12,2.40,2.67,2.93,3.17,3.41,3.63,3.84,4.03,4.20,4.36,4.50,4.63,4.73,4.82,4.89,4.94,4.97,4.98
4.96,4.95,4.92,4.87,4.80,4.72,4.61,4.49,4.35,4.19,4.01,3.82,3.62,3.40,3.16,2.92,2.66,2.39,2.11,1.83,1.53,1.23,0.93,0.62,0.31,0.00,-0.31,-0.62,-0.93,-1.23,-1.53,-1.83,-2.11,-2.39,-2.66,-2.92,-3.16,-3.40,-3.62,-3.82,-4.01,-4.19,-4.35,-4.49,-4.61,-4.72,-4.80,-4.87,-4.92,-4.95,-4.96,-4.95,-4.92,-4.87,-4.80,-4.72,-4.61,-4.49,-4.35,-4.19,-4.01,-3.82,-3.62,-3.40,-3.16,-2.92,-2.66,-2.39,-2.11,-1.83,-1.53,-1.23,-0.93,-0.62,-0.31,0.00,0.31,0.62,0.93,1.23,1.53,1.83,2.11,2.39,2.66,2.92,3.16,3.40,3.62,3.82,4.01,4.19,4.35,4.49,4.61,4.72,4.80,4.87,4.92,4.95,4.96
4.94,4.93,4.90,4.85,4.78,4.70,4.59,4.47,4.33,4.17,4.00,3.81,3.60,3.38,3.15,2.90,2.65,2.38,2.10,1.82,1.53,1.23,0.93,0.62,0.31,0.00,-0.31,-0.62,-0.93,-1.23,-1.53,-1.82,-2.10,-2.38,-2.65,-2.90,-3.15,-3.38,-3.60,-3.81,-4.00,-4.17,-4.33,-4.47,-4.59,-4.70,-4.78,-4.85,-4.90,-4.93,-4.94,-4.93,-4.90,-4.85,-4.78,-4.70,-4.59,-4.47,-4.33,-4.17,-4.00,-3.81,-3.60,-3.38,-3.15,-2.90,-2.65,-2.38,-2.10,-1.82,-1.53,-1.23,-0.93,-0.62,-0.31,0.00,0.31,0.62,0.93,1.23,1.53,1.82,2.10,2.38,2.65,2.90,3.15,3.38,3.60,3.81,4.00,4.17,4.33,4.47,4.59,4.70,4.78,4.85,4.90,4.93,4.94
4.91,4.90,4.87,4.82,4.76,4.67,4.57,4.44,4.30,4.15,3.97,3.78,3.58,3.36,3.13,2.89,2.63,2.37,2.09,1.81,1.52,1.22,0.92,0.62,0.31,0.00,-0.31,-0.62,-0.92,-1.22,-1.52,-1.81,-2.09,-2.37,-2.63,-2.89,-3.13,-3.36,-3.58,-3.78,-3.97,-4.15,-4.30,-4.44,-4.57,-4.67,-4.76,-4.82,-4.87,-4.90,-4.91,-4.90,-4.87,-4.82,-4.76,-4.67,-4.57,-4.44,-4.30,-4.15,-3.97,-3.78,-3.58,-3.36,-3.13,-2.89,-2.63,-2.37,-2.09,-1.81,-1.52,-1.22,-0.92,-0.62,-0.31,0.00,0.31,0.62,0.92,1.22,1.52,1.81,2.09,2.37,2.63,2.89,3.13,3.36,3.58,3.78,3.97,4.15,4.30,4.44,4.57,4.67,4.76,4.82,4.87,4.90,4.91
4.88,4.87,4.84,4.79,4.73,4.64,4.54,4.42,4.28,4.12,3.95,3.76,3.56,3.34,3.11,2.87,2.61,2.35,2.08,1.80,1.51,1.21,0.91,0.61,0.31,0.00,-0.31,-0.61,-0.91,-1.21,-1.51,-1.80,-2.08,-2.35,-2.61,-2.87,-3.11,-3.34,-3.56,-3.76,-3.95,-4.12,-4.28,-4.42,-4.54,-4.64,-4.73,-4.79,-4.84,-4.87,-4.88,-4.87,-4.84,-4.79,-4.73,-4.64,-4.54,-4.42,-4.28,-4.12,-3.95,-3.76,-3.56,-3.34,-3.11,-2.87,-2.61,-2.35,-2.08,-1.80,-1.51,-1.21,-0.91,-0.61,-0.31,0.00,0.31,0.61,0.91,1.21,1.51,1.80,2.08,2.35,2.61,2.87,3.11,3.34,3.56,3.76,3.95,4.12,4.28,4.42,4.54,4.64,4.73,4.79,4.84,4.87,4.88
4.84,4.83,4.80,4.76,4.69,4.61,4.50,4.38,4.24,4.09,3.92,3.73,3.53,3.32,3.09,2.85,2.59,2.33,2.06,1.78,1.50,1.20,0.91,0.61,0.30,0.00,-0.30,-0.61,-0.91,-1.20,-1.50,-1.78,-2.06,-2.33,-2.59,-2.85,-3.09,-3.32,-3.53,-3.73,-3.92,-4.09,-4.24,-4.38,-4.50,-4.61,-4.69,-4.76,-4.80,-4.83,-4.84,-4.83,-4.80,-4.76,-4.69,-4.61,-4.50,-4.38,-4.24,-4.09,-3.92,-3.73,-3.53,-3.32,-3.09,-2.85,-2.59,-2.33,-2.06,-1.78,-1.50,-1.20,-0.91,-0.61,-0.30,0.00,0.30,0.61,0.91,1.20,1.50,1.78,2.06,2.33,2.59,2.85,3.09,3.32,3.53,3.73,3.92,4.09,4.24,4.38,4.50,4.61,4.69,4.76,4.80,4.83,4.84
4.80,4.79,4.76,4.72,4.65,4.57,4.46,4.34,4.21,4.05,3.88,3.70,3.50,3.29,3.06,2.82,2.57,2.31,2.04,1.77,1.48,1.19,0.90,0.60,0.30,0.00,-0.30,-0.60,-0.90,-1.19,-1.48,-1.77,-2.04,-2.31,-2.57,-2.82,-3.06,-3.29,-3.50,-3.70,-3.88,-4.05,-4.21,-4.34,-4.46,-4.57,-4.65,-4.72,-4.76,-4.79,-4.80,-4.79,-4.76,-4.72,-4.65,-4.57,-4.46,-4.34,-4.21,-4.05,-3.88,-3.70,-3.50,-3.29,-3.06,-2.82,-2.57,-2.31,-2.04,-1.77,-1.48,-1.19,-0.90,-0.60,-0.30,0.00,0.30,0.60,0.90,1.19,1.48,1.77,2.04,2.31,2.57,2.82,3.06,3.29,3.50,3.70,3.88,4.05,4.21,4.34,4.46,4.57,4.65,4.72,4.76,4.79,4.80
